FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_etablissement,adresse_etablissement,journee_ouverture,activite_categorie,geometry,agregation
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4521,Maritime,Golfe,Golfe 1,Bè-Est,Zoro Bar,Auto-école Saint Kizito Zoro Bar,90997375,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2831279110434608 6.167025768668737),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4522,Maritime,Golfe,Golfe 1,Bè-Est,Kagome,Auto-école Saint Kizito Kagomé,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2983703200552288 6.167819153285302),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4523,Maritime,Golfe,Golfe 1,Bè-Est,Sabeto,Auto-école la Puissance Divine Sabeto,98949126,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2820816666666672 6.174011666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4524,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Auto-école la Puissance Divine Adakpamé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2896603201688392 6.171071095937135),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4525,Maritime,Golfe,Golfe 1,Bè-Est,Kelegougan,Auto-école l'étoile,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2405699999999997 6.216573333333334),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4526,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Auto-école Dieu Merci Adakpamé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2891266666666668 6.167624999999998),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4527,Maritime,Golfe,Golfe 2,Bè-Centre,Nukafu,Auto-école St Paul,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2417716666666665 6.158188333333334),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4528,Maritime,Golfe,Golfe 2,Bè-Centre,Togo 2000,Auto-école Malembe Malembe,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.254828412999465 6.188855334180798),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4529,Maritime,Golfe,Golfe 2,Bè-Centre,Wuiti-nukafu,Auto-école Rapha Wuiti-Nukafu,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2399206163414642 6.163057762691574),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_452a,Maritime,Golfe,Golfe 4,Amoutivé,Anoukopé,Auto-école la Perseverance,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2197308877142081 6.137236990088388),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_452b,Maritime,Golfe,Golfe 3,Bè-Ouest,Be-clime,Auto-école CFC-PRO SARL,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.208839037322003 6.179498213804031),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_452c,Maritime,Golfe,Golfe 4,Amoutivé,Tekoin Séminaire,Auto-école Petit Jesus,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2112786628034622 6.148260670274587),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_452d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Carrefour Commando,Auto-école Amen,90189654,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1888566666666671 6.241486666666665),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_452e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Koshigan2,Auto-école le Citoyen,Agoè Koshigan 2,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1666043026445259 6.2435083548325325),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_452f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Assiyeye,Auto-école les Benis,Nsp,Nsp,{Auto-école},POINT (1.20052523971031 6.235151174169916),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4530,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Minamadou,Auto-école le Reccord,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1932399999999992 6.224793333333335),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4531,Maritime,Golfe,Golfe 1,Bè-Est,Dekon,Auto-école Nzambe-Nzambe Dekon,92861212,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2341946993006796 6.134486700471797),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4532,Maritime,Golfe,Golfe 2,Bè-Centre,Kégué,Auto-école Nzambe-Nzambe Kegue,Sise en face du stade de kegue,"{lundi,mardi,mercredi,vendredi,samedi}",{Auto-école},POINT (1.2411228581563578 6.201321012932121),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4533,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranawoe,Auto-école Nzambe-Nzambe Hedzranawoe,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2442916666666668 6.170398333333332),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4534,Maritime,Golfe,Golfe 4,Amoutivé,Amoutiévé,Auto-école l'internationale Pilote,BP 4225,"{lundi,mardi,mercredi,jeudi,vendredi}",{Auto-école},POINT (1.22888 6.138706666666665),Non agréée
